bigram,n,theme,literal
pocket chronometer,3,NA,pocket chronometer
polar current,3,NA,polar current
polar question,3,NA,polar question
poor people,3,NA,poor people
pressure ice,3,NA,pressure ice
pressures occurred,3,NA,pressures occurred
previous occasions,3,NA,previous occasions
primitive people,3,NA,primitive people
private individuals,3,NA,private individuals
provisions depot,3,NA,provisions depot
pter 2,3,NA,pter 2
quickly launched,3,NA,quickly launched
range extends,3,NA,range extends
rapid succession,3,NA,rapid succession
rarely exceeds,3,NA,rarely exceeds
rays shot,3,NA,rays shot
reached polaris,3,NA,reached polaris
reaching cape,3,NA,reaching cape
red sea,3,NA,red sea
reddish yellow,3,NA,reddish yellow
reindeer antler,3,NA,reindeer antler
reindeer skins,3,NA,reindeer skins
remote spot,3,NA,remote spot
retreat route,3,NA,retreat route
returned aboard,3,NA,returned aboard
returned empty,3,NA,returned empty
returned home,3,NA,returned home
rising tide,3,NA,rising tide
ritter bay,3,placename,ritter bay
robeson’s strait,3,placename,robeson’s strait
route led,3,NA,route led
running survey,3,NA,running survey
satisfactory conclusion,3,NA,satisfactory conclusion
scarcely begun,3,NA,scarcely begun
scarcely changed,3,NA,scarcely changed
scarcely left,3,NA,scarcely left
sea running,3,NA,sea running
sea soundings,3,NA,sea soundings
seal blubber,3,NA,seal blubber
seal hunter,3,NA,seal hunter
seal hunters,3,NA,seal hunters
seal hunting,3,NA,seal hunting
seek shelter,3,NA,seek shelter
shallow hollow,3,NA,shallow hollow
sharp edges,3,NA,sharp edges
sharp eye,3,NA,sharp eye
sharply delineated,3,NA,sharply delineated
sheer cliffs,3,NA,sheer cliffs
ship ahoy,3,NA,ship ahoy
ship’s captain,3,NA,ship’s captain
ship’s carpenter,3,NA,ship’s carpenter
ship’s company,3,NA,ship’s company
shoot seals,3,NA,shoot seals
short distances,3,NA,short distances
short waves,3,NA,short waves
shortest route,3,NA,shortest route
shots rang,3,NA,shots rang
silurian limestone,3,NA,silurian limestone
similar circumstances,3,NA,similar circumstances
similar fashion,3,NA,similar fashion
similar fate,3,NA,similar fate
skin colour,3,NA,skin colour
sledge parties,3,NA,sledge parties
sledge tracks,3,NA,sledge tracks
slightest trace,3,NA,slightest trace
slow progress,3,NA,slow progress
smooth ice,3,NA,smooth ice
smooth sea,3,NA,smooth sea
snow blocks,3,NA,snow blocks
snow surfaces,3,NA,snow surfaces
snow tunnel,3,NA,snow tunnel
snow wall,3,NA,snow wall
snowy owl,3,wildlife,snowy owl
solid floe,3,NA,solid floe
sought shelter,3,NA,sought shelter
south direction,3,NA,south direction
south greenland,3,NA,south greenland
south pole,3,NA,south pole
south southwest,3,NA,south southwest
south wind,3,NA,south wind
southerly direction,3,NA,southerly direction
southerly wind,3,NA,southerly wind
southern cliff,3,NA,southern cliff
southern horizon,3,NA,southern horizon
special attention,3,NA,special attention
starboard anchor,3,NA,starboard anchor
started moving,3,NA,started moving
steam whistle,3,NA,steam whistle
stearine candles,3,NA,stearine candles
steep rock,3,NA,steep rock
steep slopes,3,NA,steep slopes
steeply rising,3,NA,steeply rising
stiff wind,3,NA,stiff wind
stone built,3,NA,stone built
storm broke,3,NA,storm broke
storm damage,3,NA,storm damage
stormy days,3,NA,stormy days
strong current,3,NA,strong current
sun disappeared,3,NA,sun disappeared
sun sank,3,NA,sun sank
sun shot,3,NA,sun shot
sun’s noon,3,NA,sun’s noon
temperature inside,3,NA,temperature inside
temperature rose,3,NA,temperature rose
ten minutes,3,NA,ten minutes
terra firma,3,NA,terra firma
tide hole,3,NA,tide hole
tide wave,3,NA,tide wave
tons burden,3,NA,tons burden
total length,3,NA,total length
totally impossible,3,NA,totally impossible
totally soaked,3,NA,totally soaked
totally worthless,3,NA,totally worthless
travelling party,3,NA,travelling party
twilight arc,3,NA,twilight arc
twilight glow,3,NA,twilight glow
unfavourable ice,3,NA,unfavourable ice
unspecified time,3,NA,unspecified time
unsuccessful attempts,3,NA,unsuccessful attempts
upper saloon,3,NA,upper saloon
upper silurian,3,NA,upper silurian
valuable items,3,NA,valuable items
violent wind,3,NA,violent wind
von otter,3,NA,von otter
wandering eskimos,3,NA,wandering eskimos
warm air,3,NA,warm air
warm breath,3,NA,warm breath
warm water,3,NA,warm water
washed ashore,3,NA,washed ashore
water finally,3,NA,water finally
water sky,3,NA,water sky
waterproof sealskin,3,NA,waterproof sealskin
wave crests,3,NA,wave crests
weigh anchor,3,NA,weigh anchor
western eskimo,3,NA,western eskimo
whale sound,3,placename,whale sound
whip handle,3,NA,whip handle
whip handles,3,NA,whip handles
wide belt,3,NA,wide belt
willow catkins,3,flora,willow catkins
wind rose,3,NA,wind rose
wind speed,3,NA,wind speed
wing beats,3,NA,wing beats
wollaston islands,3,placename,wollaston islands
wolstenholme island,3,placename,wolstenholme island
wooden box,3,NA,wooden box
1 august,2,NA,1 august
1 december,2,NA,1 december
1 february,2,NA,1 february
1 metal,2,NA,1 metal
1 miles,2,NA,1 miles
1 november,2,NA,1 november
"1,800 feet",2,NA,"1,800 feet"
1.00 p.m,2,NA,1.00 p.m
1.78 2.22,2,NA,1.78 2.22
10 1872,2,NA,10 1872
10 days,2,NA,10 days
10 dogs,2,NA,10 dogs
10 fold,2,NA,10 fold
10 hours,2,NA,10 hours
10 inches,2,NA,10 inches
10 july,2,NA,10 july
10 november,2,NA,10 november
100 lbs,2,NA,100 lbs
1000 lbs,2,NA,1000 lbs
110 feet,2,NA,110 feet
12 august,2,NA,12 august
12 days,2,NA,12 days
12 feet,2,NA,12 feet
12 hour,2,NA,12 hour
12 october,2,NA,12 october
13 october,2,NA,13 october
14 hours,2,NA,14 hours
14 june,2,NA,14 june
1400 feet,2,NA,1400 feet
15 18,2,NA,15 18
15 april,2,NA,15 april
15 october,2,NA,15 october
15 september,2,NA,15 september
16 hours,2,NA,16 hours
16 july,2,NA,16 july
16 miles,2,NA,16 miles
18 feet,2,NA,18 feet
18 inches,2,NA,18 inches
18 june,2,NA,18 june
18 october,2,NA,18 october
18 september,2,NA,18 september
1871 aged,2,NA,1871 aged
19 august,2,NA,19 august
2 august,2,NA,2 august
2 centners,2,NA,2 centners
2 days,2,NA,2 days
2 inch,2,NA,2 inch
2 knots,2,NA,2 knots
2 lbs,2,NA,2 lbs
2 october,2,NA,2 october
2 september,2,NA,2 september
2.22 91.0,2,NA,2.22 91.0
20 hours,2,NA,20 hours
200 fathoms,2,NA,200 fathoms
21 dogs,2,NA,21 dogs
22 february,2,NA,22 february
22 feet,2,NA,22 feet
23 august,2,NA,23 august
23 miles,2,NA,23 miles
24 august,2,NA,24 august
25 april,2,NA,25 april
25 august,2,NA,25 august
25 days,2,NA,25 days
25 feet,2,NA,25 feet
25 reichsthaler,2,NA,25 reichsthaler
26 june,2,NA,26 june
26 march,2,NA,26 march
28 february,2,NA,28 february
29 july,2,NA,29 july
3 august,2,NA,3 august
3 centners,2,NA,3 centners
3 july,2,NA,3 july
3 knots,2,NA,3 knots
30 hours,2,NA,30 hours
30 lbs,2,NA,30 lbs
30 paces,2,NA,30 paces
300 fathoms,2,NA,300 fathoms
4 1.56,2,NA,4 1.56
4 august,2,NA,4 august
4 fathoms,2,NA,4 fathoms
4 hours,2,NA,4 hours
4 months,2,NA,4 months
4 november,2,NA,4 november
4 onions,2,NA,4 onions
4.30 p.m,2,NA,4.30 p.m
4.9 miles,2,NA,4.9 miles
40 feet,2,NA,40 feet
400 feet,2,NA,400 feet
45 miles,2,NA,45 miles
5 7,2,NA,5 7
5 fathoms,2,NA,5 fathoms
5 february,2,NA,5 february
5 hours,2,NA,5 hours
5 inch,2,NA,5 inch
5 june,2,NA,5 june
50 miles,2,NA,50 miles
6 7,2,NA,6 7
6 august,2,NA,6 august
6 december,2,NA,6 december
6 hours,2,NA,6 hours
6 knots,2,NA,6 knots
6 lbs,2,NA,6 lbs
6 minutes,2,NA,6 minutes
6 november,2,NA,6 november
6 september,2,NA,6 september
6.30 a.m,2,NA,6.30 a.m
600 feet,2,NA,600 feet
60th meridian,2,NA,60th meridian
60th parallel,2,NA,60th parallel
69 14,2,NA,69 14
7 feet,2,NA,7 feet
7 inches,2,NA,7 inches
7 miles,2,NA,7 miles
70 30,2,NA,70 30
72 75,2,NA,72 75
75 30,2,NA,75 30
77th parallel,2,NA,77th parallel
78 28,2,NA,78 28
79 37,2,NA,79 37
8 hour,2,NA,8 hour
8 march,2,NA,8 march
8 september,2,NA,8 september
80 48,2,NA,80 48
81 20,2,NA,81 20
82 30,2,NA,82 30
8th 1871,2,NA,8th 1871
9 august,2,NA,9 august
9 months,2,NA,9 months
9.00 p.m,2,NA,9.00 p.m
900 feet,2,NA,900 feet
95 fathoms,2,NA,95 fathoms
aboard polaris,2,NA,aboard polaris
aboard tigress,2,NA,aboard tigress
absolute minimum,2,NA,absolute minimum
access route,2,NA,access route
accommodated chester,2,NA,accommodated chester
ach woah,2,NA,ach woah
administrator’s house,2,NA,administrator’s house
admiralty inlet,2,placename,admiralty inlet
adult dogs,2,NA,adult dogs
aged 50,2,NA,aged 50
air flowing,2,NA,air flowing
air inside,2,NA,air inside
air pressure,2,NA,air pressure
alcoholic beverages,2,NA,alcoholic beverages
allowed forward,2,NA,allowed forward
almond shaped,2,NA,almond shaped
america 72,2,NA,america 72
american archipelago,2,NA,american archipelago
anemometer stood,2,NA,anemometer stood
animal figures,2,NA,animal figures
animal life,2,NA,animal life
animal stopped,2,NA,animal stopped
animals provided,2,NA,animals provided
animals shot,2,NA,animals shot
annual temperature,2,NA,annual temperature
apparatus stood,2,NA,apparatus stood
apparently ice,2,NA,apparently ice
apparently motionless,2,NA,apparently motionless
approximately midway,2,NA,approximately midway
april passed,2,NA,april passed
arctic basin,2,NA,arctic basin
arctic campaign,2,NA,arctic campaign
arctic current,2,NA,arctic current
arctic expedition,2,NA,arctic expedition
arctic flora,2,NA,arctic flora
arctic foxes,2,NA,arctic foxes
arctic regions,2,NA,arctic regions
arctic voyages,2,NA,arctic voyages
arctic waters,2,NA,arctic waters
arrow shaped,2,NA,arrow shaped
assistant navigator,2,NA,assistant navigator
astronomical determinations,2,NA,astronomical determinations
atmospheric conditions,2,NA,atmospheric conditions
attempts hayes,2,NA,attempts hayes
au au,2,NA,au au
awe inspiring,2,NA,awe inspiring
axis ran,2,NA,axis ran
bad weather,2,NA,bad weather
badly damaged,2,NA,badly damaged
baffin land,2,placename,baffin land
baleen plates,2,NA,baleen plates
bare rocks,2,NA,bare rocks
barely 14,2,NA,barely 14
barely 3,2,NA,barely 3
barely 9,2,NA,barely 9
barely distinguishable,2,NA,barely distinguishable
barometer readings,2,NA,barometer readings
barrow strait,2,placename,barrow strait
basalt formation,2,NA,basalt formation
bay distant,2,NA,bay distant
bay unfavourable,2,NA,bay unfavourable
beach lines,2,NA,beach lines
bear hunt,2,NA,bear hunt
bear meat,2,NA,bear meat
bear suddenly,2,NA,bear suddenly
behave similarly,2,NA,behave similarly
bell rang,2,NA,bell rang
bellot strait,2,placename,bellot strait
beneath one’s,2,NA,beneath one’s
bent beneath,2,NA,bent beneath
billowing frost,2,NA,billowing frost
bird cliffs,2,NA,bird cliffs
bird life,2,NA,bird life
bird skins,2,NA,bird skins
bitterly cold,2,NA,bitterly cold
bituminous components,2,NA,bituminous components
black clouds,2,NA,black clouds
blizzard arose,2,NA,blizzard arose
blocks cut,2,NA,blocks cut
blonde captain,2,NA,blonde captain
blonde wife,2,NA,blonde wife
blubber king,2,NA,blubber king
blubber ran,2,NA,blubber ran
blue grey,2,NA,blue grey
blue haze,2,NA,blue haze
blue purple,2,NA,blue purple
board gladan,2,NA,board gladan
board inlet,2,placename,board inlet
boat developed,2,NA,boat developed
boat hooks,2,NA,boat hooks
boat journey,2,NA,boat journey
boat lay,2,NA,boat lay
boat’s crew,2,NA,boat’s crew
boat’s stern,2,NA,boat’s stern
bold deed,2,NA,bold deed
boldly curving,2,NA,boldly curving
bone lance,2,NA,bone lance
booth sound,2,placename,booth sound
bore east,2,NA,bore east
bottles filled,2,NA,bottles filled
bottom consisted,2,NA,bottom consisted
bottom samples,2,NA,bottom samples
boulders lay,2,NA,boulders lay
brave schuhmacher,2,NA,brave schuhmacher
breakfast chester,2,NA,breakfast chester
breathing hole,2,NA,breathing hole
breathing holes,2,NA,breathing holes
breeze set,2,NA,breeze set
brevoort cape,2,placename,brevoort cape
british flag,2,NA,british flag
british government,2,NA,british government
british squadron,2,NA,british squadron
broke camp,2,NA,broke camp
broke foaming,2,NA,broke foaming
broke thunderously,2,NA,broke thunderously
broken loose,2,NA,broken loose
brother newman,2,NA,brother newman
brown coast,2,NA,brown coast
budington sailing,2,NA,budington sailing
budington’s crew,2,NA,budington’s crew
budington’s floe,2,NA,budington’s floe
building foreman,2,NA,building foreman
built houses,2,NA,built houses
bum bum,2,NA,bum bum
burning blubber,2,NA,burning blubber
byam martin,2,NA,byam martin
bylot baffin,2,NA,bylot baffin
called peoples,2,NA,called peoples
calm water,2,NA,calm water
cannon balls,2,NA,cannon balls
canvas chute,2,NA,canvas chute
cape byam,2,placename,cape byam
cape dudley,2,placename,cape dudley
cape eugenie,2,placename,cape eugenie
cape fraser,2,placename,cape fraser
cape hawks,2,placename,cape hawks
cape lucie,2,placename,cape lucie
cape ohlsen,2,placename,cape ohlsen
cape race,2,placename,cape race
cape saumarez,2,placename,cape saumarez
cape searle,2,placename,cape searle
cape st,2,NA,cape st
captain bartlett,2,NA,captain bartlett
captain decided,2,NA,captain decided
captain von,2,NA,captain von
careful search,2,NA,careful search
carl ritter,2,NA,carl ritter
carpenter 6,2,NA,carpenter 6
carpenter’s bench,2,NA,carpenter’s bench
catch fly,2,NA,catch fly
catechist’s blonde,2,NA,catechist’s blonde
channels closed,2,NA,channels closed
cheerful hopes,2,NA,cheerful hopes
cheerful song,2,NA,cheerful song
chester assisted,2,NA,chester assisted
chief engineer,2,NA,chief engineer
church records,2,NA,church records
circum meridian,2,NA,circum meridian
citric acid,2,NA,citric acid
civil war,2,NA,civil war
clay beds,2,NA,clay beds
climatic conditions,2,NA,climatic conditions
close masses,2,NA,close masses
closer packed,2,NA,closer packed
clothes bags,2,NA,clothes bags
cloud masses,2,NA,cloud masses
clouds appeared,2,NA,clouds appeared
clouds hung,2,NA,clouds hung
clumsy movements,2,NA,clumsy movements
coal consumption,2,NA,coal consumption
coal packed,2,NA,coal packed
coast appeared,2,NA,coast appeared
coast due,2,NA,coast due
coast guard,2,NA,coast guard
coast line,2,NA,coast line
coastal cliffs,2,NA,coastal cliffs
cod hooks,2,NA,cod hooks
cold air,2,NA,cold air
cold bloodedly,2,NA,cold bloodedly
cold hands,2,NA,cold hands
cold water,2,NA,cold water
cold winds,2,NA,cold winds
coldest period,2,NA,coldest period
colony administrator,2,NA,colony administrator
coloured paper,2,NA,coloured paper
combined strength,2,NA,combined strength
commander braine,2,NA,commander braine
compasses 2,2,NA,compasses 2
complain loudly,2,NA,complain loudly
complete success,2,NA,complete success
completely buried,2,NA,completely buried
completely dark,2,NA,completely dark
completely disappeared,2,NA,completely disappeared
completely dry,2,NA,completely dry
completely empty,2,NA,completely empty
completely helpless,2,NA,completely helpless
completely inundated,2,NA,completely inundated
completely lose,2,NA,completely lose
completely overcast,2,NA,completely overcast
completely recovered,2,NA,completely recovered
completely white,2,NA,completely white
concealed beneath,2,NA,concealed beneath
conditions permitted,2,NA,conditions permitted
congress’s commander,2,NA,congress’s commander
conical mountain,2,NA,conical mountain
considerable size,2,NA,considerable size
considerable speed,2,NA,considerable speed
considerable time,2,NA,considerable time
consisted exclusively,2,NA,consisted exclusively
constant struggle,2,NA,constant struggle
constantly threatened,2,NA,constantly threatened
constantly visible,2,NA,constantly visible
continuous ice,2,NA,continuous ice
controlling influence,2,NA,controlling influence
cooked seal,2,NA,cooked seal
cooking vessel,2,NA,cooking vessel
cotton wool,2,NA,cotton wool
cotyle riparia,2,wildlife,cotyle riparia
council held,2,NA,council held
covered islands,2,NA,covered islands
creswell bay,2,placename,creswell bay
crevasse free,2,NA,crevasse free
crevassed glaciers,2,NA,crevassed glaciers
crew’s meals,2,NA,crew’s meals
crimson cliffs,2,NA,crimson cliffs
critical moment,2,NA,critical moment
cross section,2,NA,cross section
crozier islands,2,placename,crozier islands
cruel war,2,NA,cruel war
cruising vainly,2,NA,cruising vainly
current velocity,2,NA,current velocity
cursory remarks,2,NA,cursory remarks
daily coal,2,NA,daily coal
dalrymple island,2,placename,dalrymple island
damaged ship,2,NA,damaged ship
damaged vessel,2,NA,damaged vessel
danish settlements,2,NA,danish settlements
dark basalt,2,NA,dark basalt
dark figures,2,NA,dark figures
dark frost,2,NA,dark frost
dark green,2,NA,dark green
dark grey,2,NA,dark grey
dark leads,2,NA,dark leads
dark masses,2,NA,dark masses
dark object,2,NA,dark object
dark rock,2,NA,dark rock
dark rocky,2,NA,dark rocky
dark sea,2,NA,dark sea
dark sky,2,NA,dark sky
dark winter,2,NA,dark winter
davis west,2,NA,davis west
dawn arch,2,NA,dawn arch
day 20,2,NA,day 20
day 4,2,NA,day 4
de harpoenier,2,NA,de harpoenier
de long’s,2,NA,de long’s
dead calm,2,NA,dead calm
dead eyes,2,NA,dead eyes
deck planks,2,NA,deck planks
deep blue,2,NA,deep blue
deep pools,2,NA,deep pools
deep red,2,NA,deep red
deep shadow,2,NA,deep shadow
deep snow,2,NA,deep snow
deeper water,2,NA,deeper water
definite character,2,NA,definite character
den kater,2,NA,den kater
dense swarms,2,NA,dense swarms
desired effect,2,NA,desired effect
desperate effort,2,NA,desperate effort
detailed description,2,NA,detailed description
determined accurately,2,NA,determined accurately
dew claws,2,NA,dew claws
died nov,2,NA,died nov
dimly burning,2,NA,dimly burning
directly related,2,NA,directly related
disc appeared,2,NA,disc appeared
disintegrating floe,2,NA,disintegrating floe
dissected coast,2,NA,dissected coast
dog team,2,NA,dog team
dogs frequently,2,NA,dogs frequently
double boat,2,NA,double boat
double ration,2,NA,double ration
double wintering,2,NA,double wintering
dozen stearine,2,NA,dozen stearine
draft animals,2,NA,draft animals
dreaded melville,2,NA,dreaded melville
dried fish,2,NA,dried fish
drifted ashore,2,NA,drifted ashore
